A&A	Antike und Abendland
JWarb	Journal of the Warburg and Courtauld Institutes
Kadmos	Kadmos. Zeitschrift für vor- und frühgriechische Epigraphik
Kairos	Kairos. Zeitschrift für Religionswissenschaft und Theologie
Karo	G. Karo, Die Schachtgräber von Mykenai (Munich 1930-1933)
Karthago	Karthago. Revue d'archéologie africaine
Kenchreai	Kenchreai. Eastern Port of Corinth. Results of Investigations by the University of Chicago and Indiana University for the American School of Classical Studies at Athens
Kerameikos	Kerameikos. Ergebnisse der Ausgrabungen
KF	Kleinasiatische Forschungen
KirchPA	J.E. Kirchner, Prosopographia attica (Chicago 1981, repr. of 1901-1903 ed.)
Klearchos	Klearchos. Bollettino dell'Associazione amici del Museo nazionale di Reggio Calabria
Klio	Klio. Beiträge zur alten Geschichte
KlPauly	Der kleine Pauly. Lexicon der Antike
KMT	KMT. A Modern Journal of Ancient Egypt
Kokalos	Kokalos. Studi pubblicati dall'Istituto di storia antica dell'Università di Palermo
KölnJb	Kölner Jahrbuch für Vor- und Frühgeschichte
LÄ	Lexicon der Ägyptologie
Latinitas	Latinitas. Commentarii linguae latinae excolendae
Latomus	Latomus. Revue d'études latines
LCM	Liverpool Classical Monthly
Levant	Levant. Journal of the British School of Archaeology in Jerusalem and the British Institute at Amman for Archaeology and History
LibAnt	Libya antiqua
LibSt	Libyan Studies
LIMC	Lexicon iconographicum mythologiae classicae (Zurich and Munich 1974- )
LitArts	Liturgical Arts
LSA	Lavori e studi di archeologia pubblicati dalla Soprintendenza archeologica di Roma
LSJ	H.G. Liddell, R. Scott, and H. Stuart Jones, Greek-English Lexicon, 9th ed. (Oxford 1940)
LTUR	E.M. Steinby, ed., Lexicon topographicum urbis romae (Rome 1993)
L'Urbe	L'Urbe. Rivista romana
MÂ	Le moyen âge
MAAR	Memoirs of the American Academy in Rome
MAGW	Mitteilungen der anthropologischen Gesellschaft [Vienna]
Maia	Maia. Rivista di letterature classiche
MAMA	Monumenta Asiae minoris antiqua
MAntFr	Mémoires de la Société nationale des antiquaires de France
MarbWPr	Marburger Winckelmann-Programm
Mari	Mari. Annales de recherches interdisciplinaires
Marsyas	Marsyas. Studies in the History of Art
MASCAJ	MASCA Journal. Museum Applied Science Center for Archaeology, University Museum, University of Pennsylvania
MASCAP	MASCA Research Papers in Science and Archaeology
Matz-Duhn	F. Matz and F. von Duhn, Antike Bildwerke in Rom (Leipzig 1881-1882)
MCl	Il mondo classico
MDAV	Mitteilungen des Deutschen Archäologen-Verbandes
MdF	Musées de France
MdI	Mitteilungen des Deutschen Archäologischen Instituts
MDIK	Mitteilungen des Deutschen Archäologischen Instituts, Abteilung Kairo
MDOG	Mitteilungen der Deutschen Orient-Gesellschaft zu Berlin
MDP	Mémoires de la Délégation française en Perse
Meded	Mededeelingen van het Nederlands Historisch Instituut te Rome
MedHum	Medievalia et humanistica
MeditArch	Mediterranean Archaeology. Australian and New Zealand Journal for the Archaeology of the Mediterranean World
MedKøb	Meddelelser fra Ny Carlsberg Glyptotek [Copenhagen]
MedMusB	Medelhavsmuseet, Bulletin [Stockholm]
MedRen	Mediaeval and Renaissance Studies
MÉFR	Mélanges d'archéologie et d'histoire de l'École française de Rome
MÉFRA	Mélanges de l'École française de Rome, Antiquité
MÉFRM	Mélanges de l'École française de Rome. Moyen âge, temps modernes
MélBeyrouth	Mélanges de l'Université Saint Joseph, Beyrouth
MémAcInscr	Mémoires présentés par divers savants à l'Académie des inscriptions et belles lettres [Paris]
MemBol	Atti della Accademia delle scienze dell'Istituto di Bologna. Memorie
MemLinc	Memorie. Atti della Accademia nazionale dei Lincei, Classe di scienze morali, storiche e filologiche
MemNap	Memorie dell'Accademia di archeologia, lettere e belle arti di Napoli
MemPontAcc	Memorie. Atti della Pontificia Accademia romana di archeologia
Mesopotamia	Mesopotamia. Rivista di archeologia
MF	Madrider Forschungen
MGH	Monumenta Germaniae historica
MIÉ	Mémoires de l'Institut d'Égypte
Migne, PG	J.P. Migne, Patrologia graeca (Paris 1928-1936)
Migne, PL	J.P. Migne, Patrologia latina (Paris 1879)
Milet	Milet. Ergebnisse der Ausgrabungen und Untersuchungen seit dem Jahre 1899
Minerva	Minerva. The International Review of Ancient Art and Archaeology [London]
Minos	Minos. Revista de filología egea
MIO	Mitteilungen des Instituts für Orientforschung
MittNumGes	Mitteilungen, Numismatische Gesellschaft [Vienna]
MLJ	Modern Language Journal
MLN	Modern Language Notes
MM	Madrider Mitteilungen
MMAJ	Metropolitan Museum of Art Journal
MMR2	M.P. Nilsson, The Minoan-Mycenaean Religion, 2nd ed. (Lund 1950)
MMS	Metropolitan Museum Studies
Mnemosyne	Mnemosyne. Bibliotheca classica batava
MÖIG	Mitteilungen des Österreichischen Instituts für Geschichtsforschung
MonAnt	Monumenti antichi
MÖNG	Mitteilungen der Österreichischen numismatischen Gesellschaft
MonInst	Monumenti inediti pubblicati dall'Instituto di corrispondenza archeologica
MonPiot	Monuments et mémoires. Fondation E. Piot
MüJb	Münchener Jahrbuch der bildenden Kunst
MünchBeitr	Münchener Beiträge zur Papyrusforschung und antiken Rechtsgeschichte
MusB	Musée belge
Muse	Muse. Annual of the Museum of Art and Archaeology, University of Missouri
MusHelv	Museum Helveticum
MusJ	Museum Journal [Philadelphia]
MusKöln	Museen in Köln. Bulletin
MVAG	Mitteilungen der vorderasiatisch-aegyptischen Gesellschaft
MVEOL	Mededeelingen en Verhandelingen ex Oriente Lux
MZ	Mainzer Zeitschrift
NA	Neues Archiv der Gesellschaft für ältere deutsche Geschichtskunde
NAHisp	Noticiario arqueológico hispánico
NAkG	Nachrichten von der Akademie der Wissenschaften in Göttingen
Nash	E. Nash, Pictorial Dictionary of Ancient Rome, 2nd ed. (New York 1968)
NatGeogRes	National Geographic Research
NC	Numismatic Chronicle
NCirc	Numismatic Circular
NEA	Near Eastern Archaeology (formerly BiblArch)
Nichoria	Excavations at Nichoria in Southwest Greece
NJbb	[Neue] Jahrbücher für Philologie und Pädagogik; Neue Jahrbücher für das klassische Altertum; Neue Jahrbücher für Wissenschaft und Jugendbildung
NL	Numismatic Literature
NLB	Numismatisches Literaturblatt
NNM	American Numismatic Society. Numismatic Notes and Monographs
NomChron	Nomismatika chronika
NouvArch	Nouvelles archives des Missions scientifiques
NouvClio	La nouvelle Clio
NR	Numismatic Review
NS	American Numismatic Society. Numismatic Studies
NSc	Notizie degli scavi di antichità
NTDAR	L. Richardson, A New Topographical Dictionary of Ancient Rome (Baltimore 1992)
NumAntCl	Numismatica e antichità classiche. Quaderni ticinesi
Numen	Numen. International Review for the History of Religions
NumJ	Numismatic Journal
NuovB	Nuovo bulletino di archeologia cristiana
NZ	Numismatische Zeitschrift
OA	Oriens antiquus
OAr	Orientalisches Archiv
OC	Oriens christianus
OCD3	S. Hornblower and A. Spawforth, eds., The Oxford Classical Dictionary, 3rd ed. (Oxford 1996)
OGIS	Orientis Graeci inscriptiones selectae
OIC	Oriental Institute Communications
OIP	Oriental Institute Publications
OJA	Oxford Journal of Archaeology
ÖJh	Jahreshefte des Österreichischen archäologischen Instituts in Wien
ÖJhBeibl	Jahreshefte der Österreichischen archäologischen Instituts in Wien, Beiblatt
OlBer	Bericht über die Ausgrabungen in Olympia
OLD	Oxford Latin Dictionary (Oxford 1982)
OlForsch	Olympische Forschungen
Olynthos	Excavations at Olynthos
OLZ	Orientalische Literaturzeitung
OpArch	Opuscula archaeologica
OpAth	Opuscula atheniensia
OpFin	Opuscula Instituti romani Finlandiae
OpPh	Opuscula philologica
OpRom	Opuscula romana
Ostraka	Ostraka. Rivista di antichita
OWAN	Old World Archaeology Newsletter
PAAR	American Academy in Rome. Papers and Monographs
PAES	Publications of the Princeton University Archaeological Expeditions to Syria
Paléorient	Paléorient. Interdisciplinary Review of Prehistory and Protohistory of Southwestern Asia
PalJb	Palästinajahrbuch
Palladio	Palladio. Rivista di storia dell'architettura
Pantheon	Pantheon. Internationale Zeitschrift für Kunst
PAPS	Proceedings of the American Philosophical Society
Paralipomena	J.D. Beazley, Paralipomena (Oxford 1971)
PastPres	Past and Present
PBSR	Papers of the British School at Rome
PCPS	Proceedings of the Cambridge Philological Society
PECS	R. Stillwell et al., eds., Princeton Encyclopedia of Classical Sites (Princeton 1976)
PEFA	Palestine Exploration Fund Annual
PEFQ	Palestine Exploration Fund Quarterly Statement
PEQ	Palestine Exploration Quarterly
Persica	Persica. Jaarboek van het Genootschap Nederland-Iran
PetMitt	Petermanns Mitteilungen
PGC	H.G. Buchholz and V. Karageorghis, Prehistoric Greece and Cyprus (London 1973)
Philologus	Philologus. Zeitschrift für klassische Philologie
PhilWoch	Philologische Wochenschrift
Phoenix	Phoenix. The Classical Association of Canada
PIR	Prosopographia imperii romani
Platner-Ashby	S.B. Platner and T. Ashby, A Topographical Dictionary of Ancient Rome (London 1929)
PO	Patrologia Orientalis
Pontica	Pontica. Studii si materiale de istorie, arheologie si muzeografie, Constanta
PP	La parola del passato
PPS	Proceedings of the Prehistoric Society
PQ	Philological Quarterly
Prakt	Praktika tes en Athenais Archaiologikes Etaireias
PraktAkAth	Praktika tes Akademias Athenon
PreussJb	Preussische Jahrbücher
ProcBritAc	Proceedings of the British Academy
ProcJPES	Proceedings of the Jewish Palestine Exploration Society
ProcPhilAs	Proceedings of the American Philological Association
ProcRNS	Proceedings of the Royal Numismatic Society
Prometheus	Prometheus. Rivista quadrimestrale di studi classici
Prospettiva	Prospettiva. Rivista d'arte antica e moderna
ProvHist	Provence historique
PrzArch	Przeglad archeologiczny
PrzKl	Przeglad klasyczny
PZ	Prähistorische Zeitschrift
QAL	Quaderni di archeologia della Libia
QArchEtr	Quaderni del Centro di studio per l'archeologia etrusco-italica
QDAP	Quarterly of the Department of Antiquities in Palestine
Qedem	Qedem. Monographs of the Institute of Archaeology, Hebrew University of Jerusalem
QITA	Quaderni dell'Istituto di topografia antica della Università di Roma
RA	Revue archéologique
RAA	Revue des arts asiatiques
RACentre	Revue archéologique du Centre consacrée aux antiquités nationales
RACrist	Rivista di archeologia cristiana
RAEst	Revue archéologique de l'Est et du Centre-Est
RAfr	Revue africaine
RALouvain	Revue des archéologues et historiens d'art de Louvain
RANarb	Revue archéologique de Narbonnaise
RArq	Revista di arqueología
RassIGI	Rassegna indo-greco-italica
RAssyr	Revue d'assyriologie et d'archéologie orientale
RASyr	Revue archéologique syrienne
RBArch	Revue belge d'archéologie et d'histoire de l'art
RBibl	Revue biblique
RBN	Revue belge de numismatique et de sigillographie
RBPhil	Revue belge de philologie et d'histoire
RCRFActa	Rei Cretariae Romanae Fautorum Acta
RdA	Rivista di archeologia
RDAC	Report of the Department of Antiquities, Cyprus
RE	Pauly-Wissowa, Real-Encyclopädie der klassischen Altertumswissenschaft (1893- )
RÉA	Revue des études anciennes
RÉByz	Revue des études byzantines
RecSciRel	Recherches de science religieuse
RecTrav	Recueil de travaux relatifs à la philologie et à l'archéologie égyptiennes et assyriennes
RÉg	Revue d'égyptologie
RÉG	Revue des études grecques
RÉgA	Revue de l'Égypte ancienne
RÉH	Revue des études historiques
RÉHom	Revue des études homériques
RÉI	Revue des études islamiques
RÉL	Revue des études latines
RendAccIt	Atti della R. Accademia d'Italia. Rendiconti della classe di scienze morali
RendBol	Atti della Accademia delle scienze dell'Istituto di Bologna. Rendiconti
RendIstLomb	Rendiconti. Istituto lombardo, Accademia di scienze e lettere
RendLinc	Atti dell'Accademia nazionale dei Lincei. Rendiconti
RendNap	Rendiconti dell'Accademia di archeologia, lettere e belle arti, Napoli
RendPontAcc	Atti della Pontificia Accademia romana di archeologia. Rendiconti
RÉpigr	Revue épigraphique
RepKunstW	Repertorium für Kunstwissenschaft
RÉS	Revue des études sémitiques
RHA	Revue hittite et asianique
RHist	Revue historique
RhM	Rheinisches Museum für Philologie
RHR	Revue de l'histoire des religions
RIC	The Roman Imperial Coinage (London 1923– )
RIN	Rivista italiana di numismatica e scienze affini
RivFil	Rivista di filologia e d'istruzione classica
RivIstArch	Rivista dell'Istituto nazionale d'archeologia e storia dell'arte
RivStorAnt	Rivista storica dell'antichità
RivStorIt	Rivista storica italiana
RLA	Reallexikon der Assyriologie und voderasiatischen Archäologie
RLouvre	La revue du Louvre et des musées de France
RLV	Reallexikon der Vorgeschichte
RM	Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung
RM-EH	Mitteilungen des Deutschen Archäologischen Instituts, Römische Abteilung. Ergänzungsheft
RN	Revue numismatique
RömÖ	Römisches Österreich. Jahresschrift der Österreichischen Gesellschaft für Archäologie
RömQSchr	Römische Quartalschrift für christliche Altertumskunde und Kirchengeschichte
ROrChr	Revue de l'Orient chrétien
Roscher	W.H. Roscher, Griechischen und römischen Mythologie (Leipzig 1897-1902)
RPhil	Revue de philologie, de littérature et d'histoire anciennes
RSGR	S. Reinach, Répertoire de la statuaire grecque et romaine (Paris 1897-1924)
RSO	Rivista degli studi orientali
RStFen	Rivista di studi fenici
RStLig	Rivista di studi liguri
RStPomp	Rivista di studi pompeiani
RVAp	A.D. Trendall and A. Cambitoglou, The Red-figured Vases of Apulia (Oxford 1978- )
SaalbJb	Saalburg-Jahrbuch. Bericht des Saalburg-Museums
SAOC	Studies in Ancient Oriental Civilizations
SardisMon	Archaeological Exploration of Sardis. Monograph
SardisRep	Archaeological Exploration of Sardis. Report
SBBerl	Sitzungsberichte der Deutschen Akademie der Wissenschaften zu Berlin, Klasse für Sprachen, Literatur und Kunst
SBHeid	Sitzungsberichte der Heidelberger Akademie der Wissenschaften, Philosophisch-historische Klasse
SBLeip	Sitzungsberichte der Sächsischen Akademie der Wissenschaften zu Leipzig
SBMünch	Sitzungsberichte, Bayerische Akademie der Wissenschaften [München], Philosophisch- historische Klasse
SBWien	Sitzungsberichte, Österreichische Akademie der Wissenschaften [Wien], Philosophisch-historische Klasse
ScAnt	Scienze dell'Antichita: Storia, archeologia, antropologia (Rome 1987- )
SchwMbll	Schweizer Münzblätter
SEG	Supplementum epigraphicum graecum
SemKond	Seminarium Kondakovianum
SHG	Studies in the History of Gardens and Designed Landscapes (continua-tion of JGH)
SicArch	Sicilia archeologica
SIG	W. Dittenberger, Sylloge inscriptionum graecarum (Leipzig 1883- )
SIMA	Studies in Mediterranean Archaeology
SIMA-PB	Studies in Mediterranean Archaeology and Literature. Pocketbook
SkrAth	Skrifter utgivna av Svenska Institutet i Athen
SkrLund	Skrifter utgivna av Vetenskaps-Societeten i Lund
SkrRom	Skrifter utgivna av Svenska Institutet i Rom
SkrUppsala	Skrifter utgivna av K. Humanist. Vetenskaps-Samfundet i Uppsala
SlovArch	Slovenská archeológia
SLS	Society for Libyan Studies, Annual Report
SMEA	Studi micenei ed egeo-anatolici
SMS	Syro-Mesopotamian Studies
SNG	Sylloge nummorum graecorum
SNR	Schweizerische numismatische Rundschau. Revue suisse de numismatique
SovArch	Sovetskaja archeologija
StädelJb	Städel-Jahrbuch
Stadion	Stadion. Zeitschrift für Geschichte des Sports und der Körperkultur
StAncTech	Studies in Ancient Technology
StArch	Studia archaeologica
StBiz	Studi bizantini e neoellenici
StClas	Studii clasice. Societatea de studii clasice din Republica Socialista România
StEb	Studi eblaiti
StEtr	Studi etruschi
StIr	Studia iranica
StIt	Studi italiani di filologia classica
StMat	Studi e materiali. Soprintendenza ai beni archeologici per la Toscana
StMisc	Studi miscellanei. Seminario di archeologia e storia dell'arte greca e romana dell'Università di Roma
Stobi	Studies in the Antiquities of Stobi
StPap	Studia papyrologica
StrennaRom	Strenna dei Romanisti
StRom	Studi romani
StSard	Studi sardi
Stuart Jones, Cap.	H. Stuart Jones, A Catalogue of the Ancient Sculptures Preserved in the Municipal Collections of Rome: The Sculptures of the Museo Capitolino (Oxford 1926)
Stuart Jones, Cons.	H. Stuart Jones, A Catalogue of the Ancient Sculptures Preserved in the Municipal Collections of Rome: The Sculptures of the Palazzo dei Conservatori (Oxford 1912)
Sumer	Sumer. A Journal of Archaeology and History in Iraq
SwCyprusExp	The Swedish Cyprus Expedition
SymbOslo	Symbolae osloenses
Syria	Syria. Revue d'art oriental et d'archéologie
Talanta	Talanta. Proceedings of the Dutch Archaeological and Historical Society
TAPA	Transactions of the American Philological Association
TAPS	Transactions of the American Philosophical Society
Taras	Taras. Rivista di archeologia
TelAviv	Tel Aviv. Journal of the Tel Aviv University, Institute of Archaeology
TfK	Tidskrift för Konstvetenskap
Thera	Excavations at Thera
ThLE	Thesaurus linguae etruscae (Rome 1978– )
ThLZ	Theologische Literaturzeitung
TKB	G. Mylonas, O taphikos kyklos B ton Mykenon (Athens 1972-1973)
TLE2	M. Pallottino, Testimonia linguae etruscae, 2nd ed. (Florence 1968)
TLG	Thesaurus linguae graecae
TLL	Thesaurus linguae latinae
TLS	Times Literary Supplement
Travlos, Athens	I. Travlos, Pictorial Dictionary of Ancient Athens (London 1971)
Travlos, Attika	I. Travlos, Bildlexikon zur Topographie des antiken Attika (Tübingen 1988)
TravMém	Travaux et mémoires. Centre de recherche d'histoire et civilisation byzantine, Paris
TrWPr	Trierer Winckelmannsprogramme
TrZ	Trierer Zeitschrift für Geschichte und Kunst des Trierer Landes und seiner Nachbargebiete
TTAED	Türk Tarih, Arkeologya ve etnografya dergisi
TUAS	Temple University Aegean Symposium
TürkArkDerg	Türk arkeoloji dergisi
UAVA	Untersuchungen zur Assyriologie und Vorderasiatischen Archäologie
UCLAMon	University of California at Los Angeles, Institute of Archaeology, Monograph
UCLAPap	University of California at Los Angeles, Institute of Archaeology, Occasional Paper
UgaritF	Ugarit-Forschungen. Internationales Jahrbuch für die Altertumskunde Syrien-Palästinas
UMI	University Microfilms
UPMB	University of Pennsylvania Museum Bulletin
UppsÅrsskr	Uppsala Universitets Årsskrift
VDI	Vestnik drevnej istorii
VigChr	Vigiliae christianae
VuG	Vergangenheit und Gegenwart
WeltIsl	Die Welt des Islam
WJh	Wiener Jahreshefte
WKP	Wochenschrift für klassische Philologie
WorldArch	World Archaeology
WPZ	Wiener prähistorische Zeitschrift
WS	Wiener Studien
WürzJbb	Würzburger Jahrbücher für die Altertumswissenschaft
WVDOG	Wissenschaftliche Veröffentlichungen der Deutschen Orient-Gesellschaft
WZKM	Wiener Zeitschrift für die Kunde des Morgenlandes
Xenia	Xenia. Semestrale di antichità
YaleBull	Yale University Art Gallery Bulletin
YCS	Yale Classical Studies
ZA	Zeitschrift für Assyriologie und vorderasiatische Archäologie
ZÄS	Zeitschrift für ägyptische Sprache und Altertumskunde
ZATW	Zeitschrift für die alttestamentliche Wissenschaft
ZChrK	Zeitschrift für christliche Kunst
ZDA	Zeitschrift für deutsches Altertum
ZDMG	Zeitschrift der deutschen morgenländischen Gesellschaft
ZDPV	Zeitschrift des deutschen Palästina-Vereins
ZfA	Zeitschrift für Archäologie
ZfE	Zeitschrift für Ethnologie
ZfK	Zeitschrift für Kunstgeschichte
ZfN	Zeitschrift für Numismatik
ZivaAnt	Ziva antika. Antiquité vivante
ZNTW	Zeitschrift für die neutestamentliche Wissenschaft
ZÖstG	Zeitschrift für die Österreichischen Gymnasien
ZPE	Zeitschrift für Papyrologie und Epigraphik
ZSav	Zeitschrift der Savigny-Stiftung für Rechtsgeschichte
ZSchwArch	Zeitschrift für schweizerische Archäologie und Kunstgeschichte
ZSchwG	Zeitschrift für schweizerische Geschichte
